"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMFD","adaptive",0,0,"None",0,20,0.84,0.85,0.83
"NMFD","adaptive",0,0,"None",0,18,0.75,0.85,0.67
"NMFD","adaptive",0,0,"None",0,9,0.6,0.93,0.44
"NMFD","adaptive",0,0,"None",0,11,0.88,0.91,0.84
"NMFD","adaptive",0,0,"None",0,7,0.85,0.95,0.77
"NMFD","adaptive",0,0,"None",0,16,0.62,0.6,0.65
"NMFD","adaptive",0,0,"None",0,6,0.98,0.96,1
"NMFD","adaptive",0,0,"None",0,17,0.74,0.74,0.74
"NMFD","adaptive",0,0,"None",0,1,0.85,0.86,0.83
"NMFD","adaptive",0,0,"None",0,10,0.94,1,0.89
"NMFD","adaptive",0,0,"None",0,19,0.92,0.87,0.97
"NMFD","adaptive",0,0,"None",0,8,0.97,1,0.95
"NMFD","adaptive",0,0,"None",0,4,1,1,1
"NMFD","adaptive",0,0,"None",0,15,1,1,1
"NMFD","adaptive",0,0,"None",0,3,0.87,1,0.77
"NMFD","adaptive",0,0,"None",0,12,0.79,0.86,0.74
"NMFD","adaptive",0,0,"None",0,2,0.62,0.89,0.47
"NMFD","adaptive",0,0,"None",0,13,0.69,0.84,0.59
"NMFD","adaptive",0,0,"None",0,5,0.94,1,0.88
"NMFD","adaptive",0,0,"None",0,14,0.81,0.7,0.96
"NMFD","fixed",Inf,0,"None",0,20,0.8,0.78,0.81
"NMFD","fixed",Inf,0,"None",0,18,0.85,0.89,0.81
"NMFD","fixed",Inf,0,"None",0,9,0.73,0.95,0.59
"NMFD","fixed",Inf,0,"None",0,11,0.88,0.88,0.88
"NMFD","fixed",Inf,0,"None",0,7,0.9,0.95,0.85
"NMFD","fixed",Inf,0,"None",0,16,0.58,0.52,0.65
"NMFD","fixed",Inf,0,"None",0,6,1,1,1
"NMFD","fixed",Inf,0,"None",0,17,0.87,0.89,0.84
"NMFD","fixed",Inf,0,"None",0,1,0.65,0.6,0.7
"NMFD","fixed",Inf,0,"None",0,10,0.84,0.92,0.77
"NMFD","fixed",Inf,0,"None",0,19,0.92,0.97,0.88
"NMFD","fixed",Inf,0,"None",0,8,0.96,1,0.92
"NMFD","fixed",Inf,0,"None",0,4,0.97,0.94,1
"NMFD","fixed",Inf,0,"None",0,15,0.98,0.96,1
"NMFD","fixed",Inf,0,"None",0,3,0.84,0.92,0.77
"NMFD","fixed",Inf,0,"None",0,12,0.78,0.83,0.74
"NMFD","fixed",Inf,0,"None",0,2,0.81,0.96,0.69
"NMFD","fixed",Inf,0,"None",0,13,0.72,0.89,0.61
"NMFD","fixed",Inf,0,"None",0,5,0.81,0.72,0.92
"NMFD","fixed",Inf,0,"None",0,14,0.83,0.77,0.89
"NMFD","semi",1,0,"None",0,20,0.79,0.77,0.81
"NMFD","semi",1,0,"None",0,18,0.85,0.89,0.81
"NMFD","semi",1,0,"None",0,9,0.73,0.95,0.59
"NMFD","semi",1,0,"None",0,11,0.88,0.88,0.88
"NMFD","semi",1,0,"None",0,7,0.9,0.95,0.85
"NMFD","semi",1,0,"None",0,16,0.57,0.5,0.65
"NMFD","semi",1,0,"None",0,6,1,1,1
"NMFD","semi",1,0,"None",0,17,0.87,0.89,0.84
"NMFD","semi",1,0,"None",0,1,0.65,0.6,0.7
"NMFD","semi",1,0,"None",0,10,0.84,0.92,0.77
"NMFD","semi",1,0,"None",0,19,0.91,0.94,0.88
"NMFD","semi",1,0,"None",0,8,0.96,1,0.92
"NMFD","semi",1,0,"None",0,4,0.97,0.94,1
"NMFD","semi",1,0,"None",0,15,0.98,0.96,1
"NMFD","semi",1,0,"None",0,3,0.84,0.92,0.77
"NMFD","semi",1,0,"None",0,12,0.78,0.83,0.74
"NMFD","semi",1,0,"None",0,2,0.81,0.96,0.69
"NMFD","semi",1,0,"None",0,13,0.72,0.89,0.61
"NMFD","semi",1,0,"None",0,5,0.81,0.72,0.92
"NMFD","semi",1,0,"None",0,14,0.81,0.75,0.89
"NMFD","semi",2,0,"None",0,20,0.79,0.77,0.81
"NMFD","semi",2,0,"None",0,18,0.85,0.89,0.81
"NMFD","semi",2,0,"None",0,9,0.73,0.95,0.59
"NMFD","semi",2,0,"None",0,11,0.88,0.88,0.88
"NMFD","semi",2,0,"None",0,7,0.9,0.95,0.85
"NMFD","semi",2,0,"None",0,16,0.57,0.5,0.65
"NMFD","semi",2,0,"None",0,6,1,1,1
"NMFD","semi",2,0,"None",0,17,0.87,0.89,0.84
"NMFD","semi",2,0,"None",0,1,0.65,0.6,0.7
"NMFD","semi",2,0,"None",0,10,0.84,0.92,0.77
"NMFD","semi",2,0,"None",0,19,0.91,0.94,0.88
"NMFD","semi",2,0,"None",0,8,0.96,1,0.92
"NMFD","semi",2,0,"None",0,4,0.97,0.94,1
"NMFD","semi",2,0,"None",0,15,0.98,0.96,1
"NMFD","semi",2,0,"None",0,3,0.84,0.92,0.77
"NMFD","semi",2,0,"None",0,12,0.78,0.83,0.74
"NMFD","semi",2,0,"None",0,2,0.81,0.96,0.69
"NMFD","semi",2,0,"None",0,13,0.72,0.89,0.61
"NMFD","semi",2,0,"None",0,5,0.81,0.72,0.92
"NMFD","semi",2,0,"None",0,14,0.81,0.75,0.89
"NMFD","semi",3,0,"None",0,20,0.8,0.78,0.81
"NMFD","semi",3,0,"None",0,18,0.85,0.89,0.81
"NMFD","semi",3,0,"None",0,9,0.73,0.95,0.59
"NMFD","semi",3,0,"None",0,11,0.88,0.88,0.88
"NMFD","semi",3,0,"None",0,7,0.9,0.95,0.85
